Age,EducationLevel,FieldOfStudy,InstitutionType,MonthlyIncome,LearningFrequency,PreferredFormats,UsedPlatforms,StudyTime,AttentionSpan,LearningMotivation,LearningChallenges,DeviceUsed,WillingnessToUse,WillingToShareData,ValuableFeatures,MonthlyWillingnessToPay,ContentDeliveryMode,PreferredLanguages,CareAboutCertification,ConvincingFactors,GoalTrackingPreference,TryNewToolsFrequency,OnlineLearningFear,RecommendLikelihood
23,Professional Course,Science,Traditional College,₹60k–100k,Daily,"Text-based guides, Interactive quizzes","Udemy, Coursera, YouTube",Morning,15–30 mins,Peer pressure,"Poor content quality, Time management",Laptop,4,Yes,"Mentor guidance, Personalized schedules",417.68,Text + Video,Mix of English + Regional,Yes,"Better grades, Better structure",Achievement badges,Often,Wasting time,4
18,Other,Medical,Other,₹30k–60k,Daily,"Text-based guides, Flashcards, Video lectures",BYJU'S,Evening,30–45 mins,Career goals,"Poor content quality, Hard to understand",Desktop,3,Yes,"Gamification, Mentor guidance",456.49,Video only,"English, Mix of English + Regional",Yes,"Better grades, App reviews, Trial success",Progress bars,Often,Wasting time,4
22,Professional Course,Business,Online University,₹30k–60k,Often,"Group discussions, Text-based guides",Unacademy,Evening,15–30 mins,Career goals,Poor content quality,Laptop,4,Yes,"Adaptive quizzes, Mentor guidance, Weekly reports",408.27,Mixed,"Hindi, English",Yes,"Peer usage, Better structure",Progress bars,Never,Too boring,2
21,Undergraduate,Business,Self-Learning,₹10k–30k,Daily,"Text-based guides, Video lectures",Khan Academy,Random,45–60 mins,Certification,"Hard to understand, Lack of support",Laptop,5,No,"Peer comparison, Weekly reports, Gamification",230.33,Text + Video,"Hindi, Mix of English + Regional, Regional",Yes,"Better grades, Better structure",Progress bars,Often,Wasting money,4
23,Postgraduate,Law,Self-Learning,₹10k–30k,Rarely,"Video lectures, Text-based guides",Unacademy,Late night,<15 mins,Parental push,Time management,Tablet,4,Yes,"Personalized schedules, Peer comparison, Adaptive quizzes",228.61,AI tutor,Regional,No,"Better structure, Trial success, Certifications",Achievement badges,Always,Wasting money,3
21,Postgraduate,Medical,Coaching Institute,< ₹10k,Often,"Interactive quizzes, Group discussions, Video lectures","Coursera, Unacademy, None",Morning,45–60 mins,Curiosity,"Procrastination, Poor content quality, Lack of support",Laptop,1,Yes,"Gamification, Mentor guidance",467.54,Mixed,Regional,No,"Better structure, Better grades",Mentor reviews,Always,Too boring,2
16,Other,Law,Self-Learning,₹10k–30k,Occasionally,One-on-one mentoring,"Unacademy, Coursera, Khan Academy",Morning,45–60 mins,Peer pressure,"Poor content quality, Procrastination",Tablet,2,Yes,"Peer comparison, Weekly reports, Adaptive quizzes",481.47,Interactive modules,"English, Regional",Yes,"Peer usage, Trial success, App reviews",Achievement badges,Rarely,Not understanding,4
19,High School,Engineering,Traditional College,₹30k–60k,Often,Video lectures,"Udemy, BYJU'S",Random,30–45 mins,Career goals,Hard to stay focused,Tablet,5,Yes,"Adaptive quizzes, Weekly reports, Gamification",502.2,AI tutor,"Hindi, English",Yes,"Certifications, Better grades, Better structure",Progress bars,Occasionally,Not understanding,4
23,High School,Medical,Self-Learning,₹10k–30k,Often,"Text-based guides, Video lectures",Unacademy,Evening,30–45 mins,Peer pressure,Procrastination,Desktop,5,Yes,"Mentor guidance, Gamification, Adaptive quizzes",514.51,Video only,English,Yes,"Better structure, Trial success, App reviews",Progress bars,Often,Not understanding,4
18,Postgraduate,Business,Traditional College,₹60k–100k,Never,"Text-based guides, Flashcards, Interactive quizzes","YouTube, Coursera",Evening,30–45 mins,Certification,Time management,Laptop,4,Yes,Weekly reports,343.29,AI tutor,"Regional, Hindi",No,"Trial success, Better structure, Peer usage",Score tracking,Often,Not understanding,5
25,Other,Arts,Online University,₹60k–100k,Daily,Text-based guides,"Unacademy, Udemy, Khan Academy",Late night,30–45 mins,Curiosity,"Hard to understand, Lack of support",Mobile,4,Yes,"Mentor guidance, Personalized schedules",148.68,Text + Video,"Regional, English",No,Certifications,Progress bars,Often,Wasting time,5
22,Undergraduate,Science,Self-Learning,> ₹100k,Occasionally,"Flashcards, Interactive quizzes","Unacademy, YouTube",Afternoon,45–60 mins,Curiosity,"Poor content quality, Time management",Tablet,3,Yes,Adaptive quizzes,377.97,Mixed,"English, Mix of English + Regional, Regional",Yes,"Peer usage, Certifications",Score tracking,Occasionally,Not finishing,4
17,High School,Science,Traditional College,₹30k–60k,Often,"One-on-one mentoring, Flashcards, Text-based guides","YouTube, Khan Academy, BYJU'S",Late night,15–30 mins,Certification,Poor content quality,Desktop,5,No,"Adaptive quizzes, Gamification, Peer comparison",96.9,Text + Video,Mix of English + Regional,No,"Trial success, Better structure",Progress bars,Occasionally,Wasting time,4
16,Professional Course,Engineering,Online University,₹10k–30k,Often,"One-on-one mentoring, Interactive quizzes",Unacademy,Late night,<15 mins,Peer pressure,"Lack of support, Poor content quality, Time management",Tablet,4,Yes,"Weekly reports, Peer comparison, Personalized schedules",573.56,Video only,"Hindi, Mix of English + Regional",No,"Better structure, Certifications",Mentor reviews,Rarely,Not finishing,3
26,High School,Business,Self-Learning,₹10k–30k,Rarely,Group discussions,"Coursera, None, Udemy",Evening,30–45 mins,Peer pressure,"Hard to understand, Poor content quality, Time management",Mobile,2,No,Gamification,400.12,Video only,"Hindi, Mix of English + Regional",Yes,"Trial success, Peer usage",Progress bars,Always,Not finishing,5
20,Undergraduate,Law,Other,< ₹10k,Daily,Group discussions,"YouTube, None, Udemy",Afternoon,>60 mins,Certification,Hard to understand,Laptop,4,Yes,"Peer comparison, Gamification",452.73,Interactive modules,Mix of English + Regional,Yes,"App reviews, Trial success",Mentor reviews,Always,Wasting time,5
22,Postgraduate,Other,Online University,₹60k–100k,Never,"One-on-one mentoring, Video lectures",YouTube,Random,<15 mins,Curiosity,"Procrastination, Lack of support",Laptop,4,Yes,"Personalized schedules, Mentor guidance, Weekly reports",276.61,Mixed,"Hindi, Regional, Mix of English + Regional",Yes,"App reviews, Trial success",Achievement badges,Often,Not finishing,4
22,Professional Course,Science,Traditional College,₹10k–30k,Occasionally,Flashcards,"BYJU'S, None",Late night,<15 mins,Academic success,"Hard to understand, Hard to stay focused, Poor content quality",Mobile,2,Yes,Personalized schedules,383.97,Video only,"Hindi, English, Mix of English + Regional",No,"Better structure, App reviews",Progress bars,Never,Not finishing,5
27,Professional Course,Science,Online University,₹30k–60k,Occasionally,"Group discussions, Interactive quizzes, Video lectures",Udemy,Random,>60 mins,Academic success,"Time management, Hard to understand",Mobile,4,Yes,Weekly reports,483.36,Video only,"Hindi, English, Regional",Yes,"Better grades, Certifications",Progress bars,Never,Not finishing,3
19,Professional Course,Other,Other,> ₹100k,Daily,One-on-one mentoring,"Coursera, YouTube",Afternoon,45–60 mins,Peer pressure,Poor content quality,Tablet,2,Yes,"Peer comparison, Personalized schedules, Gamification",161.73,Mixed,"Hindi, Mix of English + Regional",No,Peer usage,Progress bars,Often,Too boring,2
16,Undergraduate,Science,Online University,< ₹10k,Occasionally,"Video lectures, Group discussions, Flashcards","YouTube, BYJU'S, Udemy",Morning,45–60 mins,Academic success,"Lack of support, Time management, Poor content quality",Laptop,4,Yes,Gamification,552.73,Text + Video,"Regional, Mix of English + Regional, Hindi",Yes,"Peer usage, Better grades",Achievement badges,Often,Not finishing,1
23,High School,Arts,Coaching Institute,₹10k–30k,Daily,"Flashcards, Interactive quizzes","YouTube, Udemy",Morning,45–60 mins,Peer pressure,Hard to understand,Mobile,1,No,"Mentor guidance, Peer comparison, Weekly reports",169.26,Interactive modules,"Regional, Mix of English + Regional, English",No,Better grades,Achievement badges,Often,Too boring,3
22,Other,Business,Self-Learning,< ₹10k,Occasionally,"One-on-one mentoring, Interactive quizzes, Group discussions","Udemy, Unacademy, None",Morning,30–45 mins,Curiosity,"Lack of support, Hard to stay focused, Procrastination",Tablet,3,Yes,"Peer comparison, Gamification",506.03,Mixed,"Mix of English + Regional, Regional, Hindi",Yes,"Trial success, Peer usage",Progress bars,Often,Not finishing,5
22,Undergraduate,Arts,Self-Learning,₹10k–30k,Often,Video lectures,"Udemy, Coursera",Evening,45–60 mins,Curiosity,"Procrastination, Time management, Hard to stay focused",Desktop,5,Yes,Weekly reports,269.96,Video only,"Regional, English, Mix of English + Regional",No,"App reviews, Better grades, Trial success",Mentor reviews,Often,Too boring,4
18,Professional Course,Science,Self-Learning,> ₹100k,Never,"Flashcards, Video lectures","None, Unacademy, BYJU'S",Random,15–30 mins,Parental push,Poor content quality,Mobile,4,Yes,"Peer comparison, Gamification, Adaptive quizzes",365.57,Interactive modules,"Regional, Mix of English + Regional, English",Yes,"Certifications, Better structure",Mentor reviews,Often,Too boring,4
17,High School,Other,Coaching Institute,₹30k–60k,Occasionally,"Interactive quizzes, Group discussions, Video lectures",Unacademy,Evening,30–45 mins,Academic success,"Time management, Lack of support",Tablet,5,Yes,"Adaptive quizzes, Weekly reports",389.53,Interactive modules,"Hindi, Regional, English",Yes,"Certifications, Better grades",Progress bars,Often,Too boring,5
20,Professional Course,Law,Other,< ₹10k,Often,"Video lectures, Text-based guides, Group discussions","BYJU'S, Coursera, YouTube",Afternoon,<15 mins,Academic success,Hard to understand,Laptop,4,No,"Peer comparison, Weekly reports",716.23,Mixed,Hindi,No,"App reviews, Trial success, Better structure",Progress bars,Occasionally,Wasting money,5
20,Postgraduate,Business,Online University,₹10k–30k,Rarely,"One-on-one mentoring, Text-based guides",Udemy,Evening,<15 mins,Peer pressure,"Lack of support, Procrastination",Mobile,1,No,"Peer comparison, Weekly reports, Gamification",155.12,Interactive modules,"Regional, English, Hindi",Yes,"Better grades, Better structure, Trial success",Score tracking,Often,Not finishing,5
16,High School,Engineering,Traditional College,₹10k–30k,Occasionally,"Text-based guides, Flashcards, Group discussions",Khan Academy,Late night,15–30 mins,Academic success,Time management,Mobile,4,Yes,"Weekly reports, Mentor guidance, Peer comparison",475.81,Video only,"Hindi, Regional",Yes,"Certifications, Peer usage, Trial success",Progress bars,Rarely,Wasting money,5
22,Professional Course,Law,Online University,₹30k–60k,Occasionally,One-on-one mentoring,"YouTube, Udemy",Morning,>60 mins,Career goals,"Lack of support, Poor content quality, Time management",Laptop,5,Yes,Mentor guidance,598.86,Interactive modules,"Mix of English + Regional, English",Yes,"App reviews, Peer usage",Progress bars,Often,Not understanding,5
21,Professional Course,Business,Other,₹60k–100k,Occasionally,"Interactive quizzes, Video lectures, One-on-one mentoring","None, BYJU'S, YouTube",Evening,<15 mins,Certification,"Procrastination, Hard to stay focused",Mobile,1,No,"Adaptive quizzes, Weekly reports, Personalized schedules",361.21,Video only,Hindi,No,"Peer usage, Trial success, Better structure",Score tracking,Often,Too boring,3
23,Undergraduate,Medical,Self-Learning,₹10k–30k,Daily,One-on-one mentoring,"None, Udemy, YouTube",Random,>60 mins,Certification,Time management,Laptop,5,Yes,"Mentor guidance, Gamification, Personalized schedules",467.87,Text + Video,"Hindi, English, Mix of English + Regional",Yes,"App reviews, Trial success, Peer usage",Score tracking,Occasionally,Wasting time,3
20,Professional Course,Business,Coaching Institute,₹10k–30k,Often,Video lectures,None,Late night,>60 mins,Curiosity,"Lack of support, Procrastination",Laptop,4,Yes,"Adaptive quizzes, Weekly reports, Gamification",422.83,Text + Video,"Mix of English + Regional, Regional",Yes,"Certifications, App reviews",Progress bars,Occasionally,Not finishing,5
16,High School,Other,Coaching Institute,₹10k–30k,Occasionally,Flashcards,"Coursera, BYJU'S, None",Late night,30–45 mins,Academic success,"Poor content quality, Lack of support, Procrastination",Mobile,3,No,"Peer comparison, Personalized schedules, Mentor guidance",176.45,Interactive modules,"English, Hindi",No,"App reviews, Peer usage, Trial success",Score tracking,Rarely,Wasting money,5
17,High School,Medical,Coaching Institute,₹30k–60k,Rarely,"Flashcards, One-on-one mentoring","None, Unacademy",Afternoon,45–60 mins,Curiosity,Hard to understand,Tablet,5,Yes,Peer comparison,534.47,Video only,Hindi,Yes,"Certifications, Peer usage, App reviews",Achievement badges,Often,Not finishing,5
20,Postgraduate,Other,Online University,> ₹100k,Often,"Text-based guides, Interactive quizzes, Group discussions",BYJU'S,Late night,30–45 mins,Curiosity,"Time management, Procrastination, Lack of support",Tablet,3,Yes,Peer comparison,400.8,Interactive modules,"Mix of English + Regional, Regional, English",No,"Better grades, App reviews",Score tracking,Always,Not understanding,3
22,High School,Business,Self-Learning,₹30k–60k,Occasionally,Flashcards,"None, BYJU'S, Udemy",Morning,30–45 mins,Parental push,Time management,Desktop,5,Yes,Peer comparison,496.76,Interactive modules,"Hindi, English",No,Better structure,Mentor reviews,Often,Too boring,4
22,Undergraduate,Business,Traditional College,< ₹10k,Daily,"Video lectures, Group discussions, Flashcards","BYJU'S, Coursera, Khan Academy",Afternoon,45–60 mins,Curiosity,"Procrastination, Hard to stay focused, Poor content quality",Laptop,5,Yes,Mentor guidance,441.23,Mixed,"Mix of English + Regional, Hindi, Regional",Yes,Better structure,Achievement badges,Always,Too boring,5
16,High School,Law,Traditional College,₹10k–30k,Often,"Text-based guides, Video lectures, Interactive quizzes","Coursera, Udemy, Khan Academy",Random,<15 mins,Certification,"Hard to understand, Hard to stay focused",Laptop,5,Yes,"Mentor guidance, Weekly reports, Adaptive quizzes",152.63,Text + Video,"Regional, Hindi, Mix of English + Regional",Yes,Trial success,Progress bars,Often,Too boring,4
24,Other,Business,Traditional College,₹30k–60k,Rarely,"Text-based guides, One-on-one mentoring","Unacademy, None, YouTube",Afternoon,15–30 mins,Peer pressure,"Hard to stay focused, Time management",Mobile,4,Yes,"Mentor guidance, Weekly reports, Gamification",297.65,Text + Video,"Mix of English + Regional, Hindi",No,"Certifications, Peer usage",Progress bars,Occasionally,Not finishing,2
19,High School,Business,Online University,₹30k–60k,Often,Text-based guides,"BYJU'S, Coursera, Khan Academy",Afternoon,>60 mins,Certification,Lack of support,Tablet,2,Yes,Weekly reports,147.79,Text + Video,"English, Regional, Mix of English + Regional",Yes,Peer usage,Progress bars,Rarely,Not understanding,3
21,High School,Arts,Traditional College,< ₹10k,Never,"Video lectures, Group discussions, Flashcards","Udemy, Coursera, BYJU'S",Afternoon,15–30 mins,Academic success,"Lack of support, Poor content quality",Desktop,1,Yes,"Mentor guidance, Adaptive quizzes",316.52,Video only,"Mix of English + Regional, English",Yes,"Better structure, App reviews, Better grades",Progress bars,Often,Too boring,4
21,Undergraduate,Business,Traditional College,₹30k–60k,Daily,"Group discussions, One-on-one mentoring",YouTube,Late night,15–30 mins,Curiosity,"Lack of support, Procrastination",Mobile,5,Yes,"Adaptive quizzes, Peer comparison, Mentor guidance",346.66,Interactive modules,"Hindi, Mix of English + Regional, English",Yes,Peer usage,Achievement badges,Occasionally,Not finishing,1
21,Postgraduate,Medical,Online University,₹10k–30k,Often,"One-on-one mentoring, Text-based guides, Flashcards","Coursera, Udemy",Random,30–45 mins,Peer pressure,"Time management, Procrastination",Laptop,4,Yes,"Weekly reports, Adaptive quizzes",182.54,Video only,Hindi,No,"App reviews, Certifications, Peer usage",Achievement badges,Rarely,Wasting money,3
18,Postgraduate,Other,Coaching Institute,₹10k–30k,Never,"Video lectures, One-on-one mentoring","Khan Academy, Coursera, BYJU'S",Afternoon,>60 mins,Career goals,"Hard to stay focused, Poor content quality, Time management",Desktop,5,Yes,"Mentor guidance, Gamification",276.13,Text + Video,"English, Regional",No,"Certifications, Better grades",Mentor reviews,Often,Not understanding,4
16,Professional Course,Engineering,Self-Learning,> ₹100k,Daily,"Flashcards, Interactive quizzes, Group discussions","None, YouTube",Morning,30–45 mins,Peer pressure,"Procrastination, Lack of support, Time management",Mobile,3,Yes,"Adaptive quizzes, Mentor guidance",336.75,Mixed,Regional,Yes,Better grades,Achievement badges,Often,Not finishing,5
20,Professional Course,Medical,Online University,₹30k–60k,Occasionally,Text-based guides,"BYJU'S, Unacademy",Random,15–30 mins,Certification,Poor content quality,Tablet,4,Yes,Gamification,145.78,Video only,"English, Hindi",Yes,"Certifications, Better structure, Better grades",Mentor reviews,Always,Wasting money,5
23,Postgraduate,Engineering,Other,< ₹10k,Daily,"Text-based guides, Flashcards, Video lectures",Coursera,Morning,>60 mins,Academic success,Lack of support,Tablet,4,Yes,"Adaptive quizzes, Mentor guidance, Personalized schedules",417.61,Video only,"Hindi, English, Regional",Yes,"Better grades, Peer usage",Progress bars,Always,Not finishing,5
22,High School,Engineering,Other,₹10k–30k,Often,"Group discussions, One-on-one mentoring","Coursera, Unacademy, Khan Academy",Afternoon,15–30 mins,Academic success,Time management,Laptop,5,Yes,"Peer comparison, Gamification",382.75,Text + Video,"Hindi, English",Yes,"Peer usage, Better grades",Mentor reviews,Occasionally,Wasting money,4
21,Postgraduate,Arts,Online University,₹10k–30k,Often,"Text-based guides, Group discussions, Interactive quizzes",Unacademy,Afternoon,15–30 mins,Peer pressure,"Hard to stay focused, Hard to understand, Procrastination",Laptop,5,Yes,Gamification,453.76,AI tutor,"Hindi, English",Yes,Better grades,Mentor reviews,Often,Not finishing,2
16,High School,Law,Online University,< ₹10k,Daily,"Group discussions, Flashcards, Text-based guides","Coursera, Udemy, YouTube",Afternoon,<15 mins,Peer pressure,"Lack of support, Procrastination, Poor content quality",Laptop,5,Yes,Gamification,438.7,Text + Video,"Hindi, Regional, English",Yes,"Better structure, Certifications, Peer usage",Score tracking,Often,Wasting money,5
24,Undergraduate,Law,Online University,₹10k–30k,Occasionally,"Video lectures, Group discussions","Udemy, YouTube",Random,>60 mins,Academic success,"Hard to stay focused, Lack of support",Mobile,4,Yes,"Mentor guidance, Peer comparison, Personalized schedules",368.27,AI tutor,"Hindi, Mix of English + Regional",No,"Better grades, Trial success",Score tracking,Often,Not finishing,2
20,Professional Course,Law,Coaching Institute,< ₹10k,Often,"Group discussions, One-on-one mentoring","Khan Academy, Udemy",Afternoon,15–30 mins,Certification,Poor content quality,Desktop,4,Yes,"Personalized schedules, Peer comparison, Mentor guidance",51.64,Interactive modules,"English, Hindi, Mix of English + Regional",Yes,"App reviews, Certifications, Better structure",Achievement badges,Often,Not understanding,5
19,Postgraduate,Engineering,Traditional College,₹10k–30k,Daily,Text-based guides,"Unacademy, BYJU'S",Random,45–60 mins,Parental push,"Hard to stay focused, Lack of support",Laptop,4,Yes,"Peer comparison, Weekly reports",510.03,Video only,"Regional, Mix of English + Regional, Hindi",Yes,Certifications,Score tracking,Often,Too boring,4
19,High School,Medical,Coaching Institute,< ₹10k,Often,"Group discussions, Flashcards, Text-based guides","BYJU'S, None",Morning,15–30 mins,Career goals,"Hard to stay focused, Poor content quality",Mobile,4,Yes,"Weekly reports, Gamification, Adaptive quizzes",702.74,AI tutor,"English, Regional, Mix of English + Regional",No,"Better structure, Better grades",Mentor reviews,Often,Not understanding,4
21,Other,Medical,Traditional College,₹30k–60k,Often,Text-based guides,"YouTube, Khan Academy, BYJU'S",Late night,15–30 mins,Academic success,"Poor content quality, Procrastination, Time management",Mobile,4,Yes,"Mentor guidance, Personalized schedules",492.43,Text + Video,Hindi,No,"Peer usage, Certifications",Score tracking,Often,Not understanding,5
25,Undergraduate,Arts,Coaching Institute,₹10k–30k,Often,Video lectures,"Udemy, Khan Academy",Random,45–60 mins,Certification,Lack of support,Laptop,3,Yes,Mentor guidance,448.76,Mixed,"Mix of English + Regional, Regional",Yes,"Peer usage, App reviews, Trial success",Mentor reviews,Often,Not finishing,3
22,Postgraduate,Other,Coaching Institute,₹10k–30k,Often,One-on-one mentoring,"YouTube, Coursera",Random,<15 mins,Curiosity,Poor content quality,Mobile,3,Yes,"Weekly reports, Adaptive quizzes, Personalized schedules",414.23,Mixed,"Hindi, Regional, English",No,"Trial success, App reviews, Better grades",Achievement badges,Always,Too boring,4
21,Undergraduate,Engineering,Traditional College,₹60k–100k,Rarely,"Video lectures, Text-based guides, One-on-one mentoring","None, YouTube",Evening,<15 mins,Peer pressure,"Poor content quality, Hard to understand",Tablet,4,Yes,"Peer comparison, Adaptive quizzes",465.33,Video only,"English, Regional, Mix of English + Regional",No,Peer usage,Progress bars,Always,Too boring,2
22,Other,Science,Coaching Institute,₹30k–60k,Often,"One-on-one mentoring, Group discussions","Khan Academy, None, Unacademy",Morning,15–30 mins,Academic success,Lack of support,Tablet,2,Yes,Gamification,256.1,Mixed,"English, Hindi",No,Certifications,Score tracking,Often,Wasting money,4
18,Other,Medical,Other,< ₹10k,Rarely,"Video lectures, Group discussions, One-on-one mentoring","Khan Academy, None, Coursera",Late night,<15 mins,Career goals,"Hard to stay focused, Lack of support, Poor content quality",Laptop,5,Yes,"Gamification, Mentor guidance, Peer comparison",639.87,AI tutor,Regional,Yes,"Better structure, Certifications",Achievement badges,Always,Wasting money,1
19,Postgraduate,Business,Other,₹30k–60k,Often,"Video lectures, Flashcards, One-on-one mentoring","Coursera, YouTube",Morning,30–45 mins,Academic success,"Time management, Poor content quality, Hard to stay focused",Desktop,5,Yes,"Weekly reports, Peer comparison",375.35,AI tutor,"English, Regional, Hindi",Yes,App reviews,Mentor reviews,Occasionally,Wasting time,5
21,Postgraduate,Other,Traditional College,₹10k–30k,Often,Flashcards,"Unacademy, Khan Academy, Coursera",Random,<15 mins,Parental push,"Time management, Hard to understand, Hard to stay focused",Laptop,3,Yes,"Adaptive quizzes, Peer comparison",248.87,Video only,"Hindi, Regional",Yes,"Better grades, Certifications, Better structure",Mentor reviews,Often,Wasting money,3
18,Professional Course,Law,Traditional College,₹10k–30k,Daily,One-on-one mentoring,None,Afternoon,15–30 mins,Academic success,"Time management, Poor content quality",Desktop,4,Yes,Adaptive quizzes,302.26,Text + Video,"Regional, English, Mix of English + Regional",Yes,Trial success,Mentor reviews,Often,Not finishing,3
18,Professional Course,Business,Other,< ₹10k,Occasionally,"One-on-one mentoring, Flashcards, Video lectures","Coursera, YouTube, Khan Academy",Random,15–30 mins,Certification,"Hard to stay focused, Hard to understand, Poor content quality",Laptop,3,Yes,"Adaptive quizzes, Peer comparison",270.3,Video only,"Mix of English + Regional, English",Yes,"Better grades, Trial success, Certifications",Achievement badges,Often,Not understanding,5
21,Other,Medical,Self-Learning,< ₹10k,Often,"Group discussions, Video lectures","Khan Academy, YouTube, Udemy",Afternoon,15–30 mins,Peer pressure,"Procrastination, Lack of support",Desktop,1,Yes,"Weekly reports, Personalized schedules",600.65,Text + Video,Hindi,Yes,"Peer usage, Trial success",Progress bars,Often,Not finishing,5
18,Undergraduate,Other,Traditional College,₹30k–60k,Often,"Interactive quizzes, Group discussions","Udemy, BYJU'S",Late night,30–45 mins,Peer pressure,"Time management, Hard to stay focused",Mobile,4,Yes,"Peer comparison, Weekly reports",397.78,AI tutor,"Hindi, Mix of English + Regional",Yes,"Better grades, Certifications",Progress bars,Always,Too boring,4
19,Other,Other,Self-Learning,₹60k–100k,Daily,"Interactive quizzes, One-on-one mentoring, Flashcards","YouTube, Udemy",Afternoon,<15 mins,Peer pressure,"Time management, Lack of support, Poor content quality",Desktop,4,Yes,Mentor guidance,304.16,Text + Video,"Hindi, Regional",Yes,"Certifications, Better grades",Score tracking,Often,Not understanding,4
20,Undergraduate,Law,Traditional College,₹30k–60k,Daily,One-on-one mentoring,YouTube,Evening,15–30 mins,Certification,Time management,Desktop,4,Yes,"Gamification, Adaptive quizzes",374.27,Text + Video,"Regional, Hindi, Mix of English + Regional",No,"Peer usage, Better structure",Score tracking,Always,Not finishing,5
20,Postgraduate,Medical,Coaching Institute,₹10k–30k,Daily,Flashcards,Unacademy,Afternoon,45–60 mins,Career goals,Procrastination,Tablet,4,Yes,Weekly reports,360.84,Interactive modules,"English, Hindi",Yes,"App reviews, Better structure, Peer usage",Progress bars,Occasionally,Not finishing,4
17,Professional Course,Law,Online University,< ₹10k,Occasionally,"Group discussions, One-on-one mentoring","Khan Academy, Coursera",Late night,15–30 mins,Peer pressure,"Procrastination, Hard to stay focused",Desktop,3,Yes,"Peer comparison, Adaptive quizzes, Mentor guidance",481.07,Video only,"Regional, Hindi",Yes,"Peer usage, Certifications, Better structure",Mentor reviews,Rarely,Not finishing,4
24,Professional Course,Engineering,Coaching Institute,₹10k–30k,Often,Flashcards,"Khan Academy, YouTube, Udemy",Afternoon,<15 mins,Certification,Poor content quality,Tablet,4,Yes,"Gamification, Peer comparison",259.75,Interactive modules,"Mix of English + Regional, English, Regional",Yes,App reviews,Mentor reviews,Always,Not understanding,4
26,Postgraduate,Arts,Self-Learning,₹30k–60k,Daily,Interactive quizzes,"Unacademy, Khan Academy",Morning,15–30 mins,Career goals,"Hard to stay focused, Lack of support, Hard to understand",Laptop,4,Yes,"Gamification, Weekly reports",394.56,Mixed,"Mix of English + Regional, Hindi, English",Yes,Trial success,Mentor reviews,Always,Wasting money,5
19,Professional Course,Law,Other,₹10k–30k,Often,One-on-one mentoring,Unacademy,Random,30–45 mins,Certification,"Poor content quality, Procrastination",Mobile,3,Yes,Adaptive quizzes,362.63,AI tutor,"English, Mix of English + Regional",No,Certifications,Mentor reviews,Often,Wasting time,3
22,Other,Other,Traditional College,₹30k–60k,Occasionally,"Video lectures, One-on-one mentoring, Flashcards","None, Coursera, Unacademy",Random,15–30 mins,Academic success,"Lack of support, Time management",Laptop,5,No,Mentor guidance,323.78,Interactive modules,"Regional, English",Yes,Better structure,Progress bars,Often,Too boring,5
23,Postgraduate,Other,Coaching Institute,₹60k–100k,Never,"Flashcards, Text-based guides",BYJU'S,Morning,>60 mins,Curiosity,Procrastination,Mobile,5,Yes,Mentor guidance,330.1,Text + Video,"Regional, Hindi",No,"Peer usage, App reviews",Achievement badges,Often,Not understanding,5
21,Professional Course,Medical,Online University,> ₹100k,Rarely,"Flashcards, Text-based guides, Group discussions","BYJU'S, YouTube, None",Afternoon,<15 mins,Parental push,"Lack of support, Poor content quality",Tablet,4,No,"Weekly reports, Gamification",434.16,Interactive modules,"Hindi, English, Mix of English + Regional",No,"App reviews, Certifications",Mentor reviews,Rarely,Not finishing,5
19,Professional Course,Arts,Self-Learning,< ₹10k,Occasionally,"Text-based guides, Interactive quizzes",Coursera,Evening,>60 mins,Parental push,"Time management, Hard to stay focused, Lack of support",Mobile,5,Yes,"Peer comparison, Personalized schedules",322.69,Video only,"Mix of English + Regional, Hindi, Regional",No,Certifications,Score tracking,Rarely,Wasting money,5
20,Undergraduate,Other,Self-Learning,₹60k–100k,Occasionally,"Group discussions, Text-based guides",BYJU'S,Afternoon,>60 mins,Certification,"Time management, Hard to understand",Tablet,3,No,"Gamification, Mentor guidance, Adaptive quizzes",353.71,Mixed,Mix of English + Regional,Yes,"Better grades, App reviews",Progress bars,Always,Not understanding,5
20,Other,Business,Traditional College,> ₹100k,Often,Flashcards,"Udemy, BYJU'S, Unacademy",Morning,30–45 mins,Curiosity,"Poor content quality, Hard to stay focused, Lack of support",Tablet,4,Yes,"Mentor guidance, Peer comparison, Weekly reports",327.87,AI tutor,"Hindi, English",Yes,Better grades,Score tracking,Often,Too boring,4
19,Professional Course,Engineering,Other,₹10k–30k,Often,"Video lectures, Flashcards","YouTube, Khan Academy, BYJU'S",Evening,30–45 mins,Certification,"Time management, Hard to stay focused",Tablet,4,Yes,Adaptive quizzes,514.75,Interactive modules,English,No,Trial success,Mentor reviews,Rarely,Too boring,3
23,Undergraduate,Other,Self-Learning,< ₹10k,Often,"Interactive quizzes, Text-based guides","YouTube, Unacademy, Coursera",Morning,30–45 mins,Career goals,Procrastination,Laptop,2,Yes,Personalized schedules,336.31,Video only,"Hindi, Mix of English + Regional",Yes,"App reviews, Certifications",Score tracking,Often,Not understanding,3
19,Professional Course,Law,Self-Learning,₹60k–100k,Rarely,"Flashcards, Video lectures","Coursera, Udemy",Morning,45–60 mins,Academic success,Hard to stay focused,Mobile,5,Yes,"Personalized schedules, Peer comparison",235.69,AI tutor,"Hindi, English",No,"Certifications, Trial success",Achievement badges,Often,Not understanding,5
